447,400
509,546
646,601
594,692
448,412
384,513
412,327
542,496
513,576
666,586
601,658
615,565
444,514
591,379
501,726
561,967
526,680
569,738
366,268
477,457
352,296
484,532
822,452
1921,395
548,469
544,645
579,774
522,602
532,729
482,696
502,435
376,455
633,746
452,642
401,507
549,654
357,376
554,801
547,751
722,768
647,721
693,694
545,630
748,541
1207,1307
587,628
688,471
619,529
655,676
680,680
729,793
742,886
650,599
662,643
701,785
695,853
604,614
559,705
518,394
660,650
575,563
617,718
639,664
556,603
506,630
488,596
522,612
921,780
821,926
